mission_name,agency,launch_year,duration_days,crew_size,destination,success,distance_km,cost_million_usd
Apollo 11,NASA,1969,8,3,Moon,True,384400,25400
Voyager 1,NASA,1977,17167,0,Interstellar Space,True,23500000000,865
Mars Pathfinder,NASA,1996,267,0,Mars,True,225000000,280
ISS Expedition 1,NASA/Roscosmos,2000,136,3,Low Earth Orbit,True,408,150000
SpaceX Demo-2,SpaceX,2020,64,2,ISS,True,408,1500
Artemis I,NASA,2022,25,0,Moon,True,384400,4100
Artemis II,NASA,2026,10,4,Moon,True,384400,4500
Chandrayaan-3,ISRO,2023,42,0,Moon,True,384400,75
James Webb Telescope,NASA/ESA,2021,1095,0,L2 Point,True,1500000,10000
Tianwen-1,CNSA,2020,687,0,Mars,True,225000000,800
Perseverance Rover,NASA,2020,730,0,Mars,True,225000000,2700
Hubble Space Telescope,NASA/ESA,1990,12410,0,Low Earth Orbit,True,547,4700
New Horizons,NASA,2006,3462,0,Pluto,True,5900000000,700
Cassini-Huygens,NASA/ESA,1997,7309,0,Saturn,True,1400000000,3260
Curiosity Rover,NASA,2011,4380,0,Mars,True,225000000,2500
Sputnik 1,USSR,1957,0.08,0,Low Earth Orbit,True,577,0.5
Vostok 1,USSR,1961,0.07,1,Low Earth Orbit,True,327,20
Apollo 8,NASA,1968,6,3,Moon,True,384400,2500
Apollo 13,NASA,1970,6,3,Moon,False,384400,25400
Skylab,NASA,1973,2249,0,Low Earth Orbit,True,435,2200
Voyager 2,NASA,1977,17167,0,Interstellar Space,True,23500000000,895
Pioneer 10,NASA,1972,11000,0,Interstellar Space,True,19000000000,150
Pioneer 11,NASA,1973,11000,0,Interstellar Space,True,16000000000,150
Venera 7,USSR,1970,120,0,Venus,True,41000000,20
Venera 9,USSR,1975,140,0,Venus,True,41000000,25
Galileo,NASA,1989,5000,0,Jupiter,True,778000000,1390
Magellan,NASA,1989,5110,0,Venus,True,41000000,1500
SOHO,ESA,1995,10000,0,Sun,True,150000000,1000
Mars Global Surveyor,NASA,2005,6800,0,Mars,True,225000000,720
Opportunity Rover,NASA,2003,5300,0,Mars,True,225000000,400
Spirit Rover,NASA,2003,2200,0,Mars,True,225000000,400
Rosetta,ESA,2004,4500,0,Comet 67P,True,500000000,1400
MESSENGER,NASA,2004,4000,0,Mercury,True,91000000,450
Kepler,NASA,2009,3500,0,Deep Space,True,150000000,600
Juno,NASA,2011,2000,0,Jupiter,True,778000000,1100
Mangalyaan,ISRO,2013,3000,0,Mars,True,225000000,74
Gaia,ESA,2013,3500,0,L2 Point,True,1500000,1000
InSight,NASA,2018,1400,0,Mars,True,225000000,830
Chang'e 4,CNSA,2018,1900,0,Moon,True,384400,170
BepiColombo,ESA/JAXA,2018,2500,0,Mercury,True,91000000,2000
Parker Solar Probe,NASA,2018,2500,0,Sun,True,150000000,1500
TESS,NASA,2018,2000,0,Deep Space,True,150000000,200
Chandrayaan-2,ISRO,2019,1800,0,Moon,False,384400,140
Chang'e 5,CNSA,2020,1500,0,Moon,True,384400,200
Solar Orbiter,ESA,2020,1500,0,Sun,True,150000000,1500
OSIRIS-REx,NASA,2016,2500,0,Asteroid Bennu,True,300000000,800
Hayabusa2,JAXA,2014,2190,0,Asteroid Ryugu,True,300000000,150
DART,NASA,2021,300,0,Asteroid Dimorphos,True,11000000,330
Lucy,NASA,2021,300,0,Asteroid Didymos,True,11000000,324
Psyche,NASA,2023,1000,0,Asteroid Psyche,True,300000000,985
JUICE,ESA,2023,400,0,Jupiter,True,778000000,1600
Europa Clipper,NASA,2024,200,0,Jupiter,True,778000000,4250

